Time	-Avg A
(us)	(mV)

-1.72880012	-31.41280000
-1.72840012	-31.45065000
-1.72800012	-31.33709000
-1.72760012	-31.42793000
-1.72720012	-31.30680000
-1.72680012	-31.37494000
-1.72640012	-31.40522000
-1.72600012	-31.43551000
-1.72560012	-31.32193000
-1.72520012	-31.45822000
-1.72480012	-31.31437000
-1.72440012	-31.37493000
-1.72400012	-31.37494000
-1.72360012	-31.37493000
-1.72320012	-31.43551000
-1.72280012	-31.42035000
-1.72240012	-31.39008000
-1.72200012	-31.35979000
-1.72160012	-31.33708000
-1.72120012	-31.39765000
-1.72080012	-31.37494000
-1.72040012	-31.54149000
-1.72000012	-31.33707000
-1.71960012	-31.39765000
-1.71920012	-31.35980000
-1.71880012	-31.51122000
-1.71840012	-31.38251000
-1.71800012	-31.42036000
-1.71760012	-31.34465000
-1.71720012	-31.36737000
-1.71680012	-31.38251000
-1.71640012	-31.46579000
-1.71600012	-31.34466000
-1.71560012	-31.42793000
-1.71520012	-31.40522000
-1.71480012	-31.44308000
-1.71440012	-31.47337000
-1.71400012	-31.41279000
-1.71360012	-31.37493000
-1.71320012	-31.46579000
-1.71280012	-31.32194000
-1.71240012	-31.39008000
-1.71200012	-31.53392000
-1.71160012	-31.48093000
-1.71120012	-31.33708000
-1.71080012	-31.39766000
-1.71040012	-31.34466000
-1.71000012	-31.42036000
-1.70960012	-31.45065000
-1.70920012	-31.39766000
-1.70880012	-31.41279000
-1.70840012	-31.47336000
-1.70800012	-31.42037000
-1.70760012	-31.44307000
-1.70720012	-31.39765000
-1.70680012	-31.42793000
-1.70640012	-31.34466000
-1.70600012	-31.45064000
-1.70560012	-31.32952000
-1.70520012	-31.32950000
-1.70480012	-31.29923000
-1.70440012	-31.29922000
-1.70400012	-31.39009000
-1.70360012	-31.38251000
-1.70320012	-31.36736000
-1.70280012	-31.40522000
-1.70240012	-31.28408000
-1.70200012	-31.43550000
-1.70160012	-31.37494000
-1.70120012	-31.39008000
-1.70080012	-31.26136000
-1.70040012	-31.39008000
-1.70000012	-31.22351000
-1.69960012	-31.41280000
-1.69920012	-31.33708000
-1.69880012	-31.33708000
-1.69840012	-31.33707000
-1.69800012	-31.37493000
-1.69760012	-31.35980000
-1.69720012	-31.43551000
-1.69680012	-31.30679000
-1.69640012	-31.32951000
-1.69600012	-31.35979000
-1.69560012	-31.39008000
-1.69520012	-31.39008000
-1.69480012	-31.38250000
-1.69440012	-31.39765000
-1.69400012	-31.39766000
-1.69360012	-31.36737000
-1.69320012	-31.42037000
-1.69280012	-31.39008000
-1.69240012	-31.42037000
-1.69200012	-31.39765000
-1.69160012	-31.39764000
-1.69120012	-31.36737000
-1.69080012	-31.34464000
-1.69040012	-31.34465000
-1.69000012	-31.32195000
-1.68960012	-31.37494000
-1.68920012	-31.36737000
-1.68880012	-31.42036000
-1.68840012	-31.35222000
-1.68800012	-31.34465000
-1.68760012	-31.37493000
-1.68720012	-31.41280000
-1.68680012	-31.37493000
-1.68640012	-31.42793000
-1.68600012	-31.36737000
-1.68560012	-31.32950000
-1.68520012	-31.35223000
-1.68480012	-31.26894000
-1.68440012	-31.35981000
-1.68400012	-31.35979000
-1.68360012	-31.36736000
-1.68320012	-31.32193000
-1.68280012	-31.37493000
-1.68240012	-31.33708000
-1.68200012	-31.43551000
-1.68160012	-31.32194000
-1.68120012	-31.36738000
-1.68080012	-31.33709000
-1.68040012	-31.34465000
-1.68000012	-31.40522000
-1.67960012	-31.46579000
-1.67920012	-31.34466000
-1.67880012	-31.27652000
-1.67840012	-31.35980000
-1.67800012	-31.36736000
-1.67760012	-31.36736000
-1.67720012	-31.40523000
-1.67680012	-31.35221000
-1.67640012	-31.32195000
-1.67600012	-31.35979000
-1.67560012	-31.31438000
-1.67520012	-31.37493000
-1.67480012	-31.39007000
-1.67440012	-31.32951000
-1.67400012	-31.30679000
-1.67360012	-31.32951000
-1.67320012	-31.35980000
-1.67280012	-31.26894000
-1.67240012	-31.48851000
-1.67200012	-31.37494000
-1.67160012	-31.30679000
-1.67120012	-31.32951000
-1.67080012	-31.32951000
-1.67040012	-31.34465000
-1.67000012	-31.35224000
-1.66960012	-31.40522000
-1.66920012	-31.45823000
-1.66880012	-31.33708000
-1.66840012	-31.41279000
-1.66800012	-31.39008000
-1.66760012	-31.48849000
-1.66720012	-31.42036000
-1.66680012	-31.35979000
-1.66640012	-31.30680000
-1.66600012	-31.42036000
-1.66560012	-31.35980000
-1.66520012	-31.38251000
-1.66480012	-31.37495000
-1.66440012	-31.40522000
-1.66400012	-31.39008000
-1.66360012	-31.48850000
-1.66320012	-31.38251000
-1.66280012	-31.43551000
-1.66240012	-31.39008000
-1.66200012	-31.35980000
-1.66160012	-31.30679000
-1.66120012	-31.40523000
-1.66080012	-31.32193000
-1.66040012	-31.43550000
-1.66000012	-31.29922000
-1.65960012	-31.41279000
-1.65920012	-31.39766000
-1.65880012	-31.42794000
-1.65840012	-31.25379000
-1.65800012	-31.41279000
-1.65760012	-31.33708000
-1.65720012	-31.43550000
-1.65680012	-31.39008000
-1.65640012	-31.39007000
-1.65600012	-31.36737000
-1.65560012	-31.44308000
-1.65520012	-31.39008000
-1.65480012	-31.47335000
-1.65440012	-31.37494000
-1.65400012	-31.42792000
-1.65360012	-31.39008000
-1.65320012	-31.42037000
-1.65280012	-31.39008000
-1.65240012	-31.42794000
-1.65200012	-31.36736000
-1.65160012	-31.51879000
-1.65120012	-31.32194000
-1.65080012	-31.40522000
-1.65040012	-31.36736000
-1.65000012	-31.42793000
-1.64960012	-31.40522000
-1.64920012	-31.53393000
-1.64880012	-31.37494000
-1.64840012	-31.48093000
-1.64800012	-31.45822000
-1.64760012	-31.37494000
-1.64720012	-31.37493000
-1.64680012	-31.50364000
-1.64640012	-31.33707000
-1.64600012	-31.42037000
-1.64560012	-31.45822000
-1.64520012	-31.49607000
-1.64480012	-31.34464000
-1.64440012	-31.49607000
-1.64400012	-31.42794000
-1.64360012	-31.43551000
-1.64320012	-31.32952000
-1.64280012	-31.43551000
-1.64240012	-31.38251000
-1.64200012	-31.48850000
-1.64160012	-31.48092000
-1.64120012	-31.41280000
-1.64080012	-31.43551000
-1.64040012	-31.53392000
-1.64000012	-31.35222000
-1.63960012	-31.46578000
-1.63920012	-31.40522000
-1.63880012	-31.42036000
-1.63840012	-31.30679000
-1.63800012	-31.42794000
-1.63760012	-31.40522000
-1.63720012	-31.44308000
-1.63680012	-31.40522000
-1.63640012	-31.42793000
-1.63600012	-31.43550000
-1.63560012	-31.43551000
-1.63520012	-31.44307000
-1.63480012	-31.51121000
-1.63440012	-31.32193000
-1.63400012	-31.43550000
-1.63360012	-31.31436000
-1.63320012	-31.40522000
-1.63280012	-31.39007000
-1.63240012	-31.32950000
-1.63200012	-31.24622000
-1.63160012	-31.39007000
-1.63120012	-31.39765000
-1.63080012	-31.43551000
-1.63040012	-31.39008000
-1.63000012	-31.44308000
-1.62960012	-31.36736000
-1.62920012	-31.39008000
-1.62880012	-31.40523000
-1.62840012	-31.45822000
-1.62800012	-31.39765000
-1.62760012	-31.46579000
-1.62720012	-31.35980000
-1.62680012	-31.45822000
-1.62640012	-31.39008000
-1.62600012	-31.44307000
-1.62560012	-31.34467000
-1.62520012	-31.45064000
-1.62480012	-31.35979000
-1.62440012	-31.45821000
-1.62400012	-31.34466000
-1.62360012	-31.47336000
-1.62320012	-31.34465000
-1.62280012	-31.42794000
-1.62240012	-31.42793000
-1.62200012	-31.42036000
-1.62160012	-31.36737000
-1.62120012	-31.40523000
-1.62080012	-31.37494000
-1.62040012	-31.43551000
-1.62000012	-31.42035000
-1.61960012	-31.38250000
-1.61920012	-31.42036000
-1.61880012	-31.39765000
-1.61840012	-31.42037000
-1.61800012	-31.42794000
-1.61760012	-31.35979000
-1.61720012	-31.45822000
-1.61680012	-31.43550000
-1.61640012	-31.35221000
-1.61600012	-31.42792000
-1.61560012	-31.49608000
-1.61520012	-31.34466000
-1.61480012	-31.39009000
-1.61440012	-31.39766000
-1.61400012	-31.45822000
-1.61360012	-31.31436000
-1.61320012	-31.45065000
-1.61280012	-31.39009000
-1.61240012	-31.42036000
-1.61200012	-31.40524000
-1.61160012	-31.43550000
-1.61120012	-31.39008000
-1.61080012	-31.28410000
-1.61040012	-31.25379000
-1.61000012	-31.45065000
-1.60960012	-31.39766000
-1.60920012	-31.41280000
-1.60880012	-31.25380000
-1.60840012	-31.45822000
-1.60800012	-31.29923000
-1.60760012	-31.29923000
-1.60720012	-31.35980000
-1.60680012	-31.35224000
-1.60640012	-31.29165000
-1.60600012	-31.28408000
-1.60560012	-31.32951000
-1.60520012	-31.35223000
-1.60480012	-31.34465000
-1.60440012	-31.37494000
-1.60400012	-31.34464000
-1.60360012	-31.36737000
-1.60320012	-31.37494000
-1.60280012	-31.34465000
-1.60240012	-31.37493000
-1.60200012	-31.42037000
