LECROYWR104Xi-A,26993,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,13-Jul-2015 13:28:13,0                 
Time,Ampl
5.1182e-006,-8.8348e-005
5.1184e-006,-9.05815e-005
5.1186e-006,-9.03333e-005
5.1188e-006,-8.95888e-005
5.119e-006,-8.9837e-005
5.1192e-006,-8.80998e-005
5.1194e-006,-8.56181e-005
5.1196e-006,-8.63626e-005
5.1198e-006,-8.73553e-005
5.12e-006,-8.66108e-005
5.1202e-006,-8.78516e-005
5.1204e-006,-9.23187e-005
5.1206e-006,-9.82747e-005
5.1208e-006,-0.00010299
5.121e-006,-9.97637e-005
5.1212e-006,-9.25668e-005
5.1214e-006,-9.35595e-005
5.1216e-006,-9.95155e-005
5.1218e-006,-9.90192e-005
5.122e-006,-9.15741e-005
5.1222e-006,-8.18956e-005
5.1224e-006,-7.6684e-005
5.1226e-006,-7.59395e-005
5.1228e-006,-7.56914e-005
5.123e-006,-7.89176e-005
5.1232e-006,-8.80998e-005
5.1234e-006,-9.60412e-005
5.1236e-006,-9.4304e-005
5.1238e-006,-8.80998e-005
5.124e-006,-8.63626e-005
5.1242e-006,-9.08296e-005
5.1244e-006,-9.5793e-005
5.1246e-006,-9.48003e-005
5.1248e-006,-8.73553e-005
5.125e-006,-8.09029e-005
5.1252e-006,-8.38809e-005
5.1254e-006,-9.48003e-005
5.1256e-006,-9.97637e-005
5.1258e-006,-9.38077e-005
5.126e-006,-8.76035e-005
5.1262e-006,-8.9837e-005
5.1264e-006,-9.35595e-005
5.1266e-006,-9.33113e-005
5.1268e-006,-9.67857e-005
5.127e-006,-0.000106216
5.1272e-006,-0.000115646
5.1274e-006,-0.000118376
5.1276e-006,-0.00011515
5.1278e-006,-0.000111179
5.128e-006,-0.00010845
5.1282e-006,-0.000104479
5.1284e-006,-9.8771e-005
5.1286e-006,-9.50485e-005
5.1288e-006,-9.48003e-005
5.129e-006,-9.85229e-005
5.1292e-006,-0.000105472
5.1294e-006,-0.000111428
5.1296e-006,-0.000111924
5.1298e-006,-0.000108946
5.13e-006,-0.000105968
5.1302e-006,-0.000104479
5.1304e-006,-0.000106464
5.1306e-006,-0.000107953
5.1308e-006,-0.000110435
5.131e-006,-0.000119617
5.1312e-006,-0.000126814
5.1314e-006,-0.00012607
5.1316e-006,-0.000123588
5.1318e-006,-0.000122347
5.132e-006,-0.000118376
5.1322e-006,-0.000113413
5.1324e-006,-0.000112172
5.1326e-006,-0.000118128
5.1328e-006,-0.000125573
5.133e-006,-0.000125077
5.1332e-006,-0.000122595
5.1334e-006,-0.000129296
5.1336e-006,-0.000139471
5.1338e-006,-0.000141456
5.134e-006,-0.000137237
5.1342e-006,-0.000132274
5.1344e-006,-0.000127807
5.1346e-006,-0.000127062
5.1348e-006,-0.000128799
5.135e-006,-0.000125325
5.1352e-006,-0.000118873
5.1354e-006,-0.000116887
5.1356e-006,-0.000120362
5.1358e-006,-0.000124829
5.136e-006,-0.00012334
5.1362e-006,-0.000117135
5.1364e-006,-0.000114157
5.1366e-006,-0.000112917
5.1368e-006,-0.000110435
5.137e-006,-0.000106216
5.1372e-006,-0.000101005
5.1374e-006,-9.85229e-005
5.1376e-006,-0.00010026
5.1378e-006,-0.000100012
5.138e-006,-9.75302e-005
5.1382e-006,-9.90192e-005
5.1384e-006,-0.000100508
5.1386e-006,-9.77784e-005
5.1388e-006,-9.62893e-005
5.139e-006,-9.75302e-005
5.1392e-006,-9.95155e-005
5.1394e-006,-0.000102742
5.1396e-006,-0.000102494
5.1398e-006,-9.92674e-005
5.14e-006,-0.000103486
5.1402e-006,-0.000115895
5.1404e-006,-0.000129296
5.1406e-006,-0.000137237
5.1408e-006,-0.000135004
5.141e-006,-0.000132274
5.1412e-006,-0.00013823
5.1414e-006,-0.000141456
5.1416e-006,-0.000136244
5.1418e-006,-0.000136493
5.142e-006,-0.000145427
5.1422e-006,-0.000151631
5.1424e-006,-0.000151135
5.1426e-006,-0.00014766
5.1428e-006,-0.000147412
5.143e-006,-0.000152624
5.1432e-006,-0.000154857
5.1434e-006,-0.000149149
5.1436e-006,-0.000141704
5.1438e-006,-0.000136741
5.144e-006,-0.000132522
5.1442e-006,-0.000129048
5.1444e-006,-0.000125573
5.1446e-006,-0.000122595
5.1448e-006,-0.000121106
5.145e-006,-0.000116887
5.1452e-006,-0.000108698
5.1454e-006,-0.000103238
5.1456e-006,-0.00010026
5.1458e-006,-9.92674e-005
5.146e-006,-0.000101749
5.1462e-006,-0.000101005
5.1464e-006,-9.33113e-005
5.1466e-006,-8.36328e-005
5.1468e-006,-7.79249e-005
5.147e-006,-8.01584e-005
5.1472e-006,-8.71071e-005
5.1474e-006,-9.08296e-005
5.1476e-006,-8.80998e-005
5.1478e-006,-8.51218e-005
5.148e-006,-8.76035e-005
5.1482e-006,-9.45522e-005
5.1484e-006,-0.00010299
5.1486e-006,-0.000106961
5.1488e-006,-0.000105223
5.149e-006,-0.000104727
5.1492e-006,-0.00010299
5.1494e-006,-9.95155e-005
5.1496e-006,-0.000100756
5.1498e-006,-0.000105223
5.15e-006,-0.000110435
5.1502e-006,-0.00011788
5.1504e-006,-0.000123836
5.1506e-006,-0.00012731
5.1508e-006,-0.000130537
5.151e-006,-0.000130288
5.1512e-006,-0.00012607
5.1514e-006,-0.000123588
5.1516e-006,-0.000124829
5.1518e-006,-0.000128055
5.152e-006,-0.000128799
5.1522e-006,-0.00012334
5.1524e-006,-0.000116391
5.1526e-006,-0.000110187
5.1528e-006,-9.97637e-005
5.153e-006,-9.08296e-005
5.1532e-006,-9.30632e-005
5.1534e-006,-9.92674e-005
5.1536e-006,-0.000100508
5.1538e-006,-0.000100756
5.154e-006,-0.000106216
5.1542e-006,-0.000113413
5.1544e-006,-0.000113909
5.1546e-006,-0.000107457
5.1548e-006,-0.000105223
5.155e-006,-0.000109939
5.1552e-006,-0.000110931
5.1554e-006,-0.000106961
5.1556e-006,-0.000106961
5.1558e-006,-0.000113165
5.156e-006,-0.000124084
5.1562e-006,-0.000134507
5.1564e-006,-0.0001355
5.1566e-006,-0.00013004
5.1568e-006,-0.000128551
5.157e-006,-0.000133018
5.1572e-006,-0.000139719
